Store,Department,Space,Category,Product,Date,Price,QTY
Store_4,Text_28,Text_28,B,Product_29,2023-01-29,3.63,1
Store_5,Text_29,Text_29,C,Product_30,2023-01-30,71.98,25
Store_1,Text_30,Text_30,A,Product_31,2023-01-31,80.69,44
Store_2,Text_31,Text_31,B,Product_32,2023-02-01,46.64,48
Store_3,Text_32,Text_32,C,Product_33,2023-02-02,75.93,8
Store_4,Text_33,Text_33,A,Product_34,2023-02-03,82.55,35
Store_5,Text_34,Text_34,B,Product_35,2023-02-04,28.45,48
Store_1,Text_35,Text_35,C,Product_36,2023-02-05,71.58,9
Store_2,Text_36,Text_36,A,Product_37,2023-02-06,25.64,23
Store_3,Text_37,Text_37,B,Product_38,2023-02-07,33.0,41
Store_4,Text_38,Text_38,C,Product_39,2023-02-08,8.17,17
Store_5,Text_39,Text_39,A,Product_40,2023-02-09,95.49,11
Store_1,Text_40,Text_40,B,Product_41,2023-02-10,40.37,28
Store_2,Text_41,Text_41,C,Product_42,2023-02-11,82.92,32
Store_3,Text_42,Text_42,A,Product_43,2023-02-12,34.17,39
Store_4,Text_43,Text_43,B,Product_44,2023-02-13,51.38,1
Store_5,Text_44,Text_44,C,Product_45,2023-02-14,27.19,19
Store_1,Text_45,Text_45,A,Product_46,2023-02-15,13.82,27
Store_2,Text_46,Text_46,B,Product_47,2023-02-16,73.48,23
Store_3,Text_47,Text_47,C,Product_48,2023-02-17,18.35,43
Store_4,Text_48,Text_48,A,Product_49,2023-02-18,57.52,12
Store_5,Text_49,Text_49,B,Product_50,2023-02-19,96.46,28
Store_1,Text_50,Text_50,C,Product_51,2023-02-20,99.03,11
Store_2,Text_51,Text_51,A,Product_52,2023-02-21,34.94,20
Store_3,Text_52,Text_52,B,Product_53,2023-02-22,58.99,26
Store_4,Text_53,Text_53,C,Product_54,2023-02-23,3.14,22
Store_5,Text_54,Text_54,A,Product_55,2023-02-24,50.51,36
Store_1,Text_55,Text_55,B,Product_56,2023-02-25,81.62,45
Store_2,Text_56,Text_56,C,Product_57,2023-02-26,48.96,27
Store_3,Text_57,Text_57,A,Product_58,2023-02-27,81.05,30
Store_4,Text_58,Text_58,B,Product_59,2023-02-28,41.57,11
Store_5,Text_59,Text_59,C,Product_60,2023-03-01,86.22,5
Store_1,Text_60,Text_60,A,Product_61,2023-03-02,78.22,40
Store_2,Text_61,Text_61,B,Product_62,2023-03-03,75.2,24
Store_3,Text_62,Text_62,C,Product_63,2023-03-04,90.18,7
Store_4,Text_63,Text_63,A,Product_64,2023-03-05,48.24,42
Store_5,Text_64,Text_64,B,Product_65,2023-03-06,70.63,46
Store_1,Text_65,Text_65,C,Product_66,2023-03-07,31.86,22
Store_2,Text_66,Text_66,A,Product_67,2023-03-08,95.8,12
Store_3,Text_67,Text_67,B,Product_68,2023-03-09,69.52,31
Store_4,Text_68,Text_68,C,Product_69,2023-03-10,1.28,45
Store_5,Text_69,Text_69,A,Product_70,2023-03-11,22.13,41
Store_1,Text_70,Text_70,B,Product_71,2023-03-12,52.34,30
Store_2,Text_71,Text_71,C,Product_72,2023-03-13,48.77,38
Store_3,Text_72,Text_72,A,Product_73,2023-03-14,23.98,1
Store_4,Text_73,Text_73,B,Product_74,2023-03-15,86.09,47
Store_5,Text_74,Text_74,C,Product_75,2023-03-16,31.54,3
Store_1,Text_75,Text_75,A,Product_76,2023-03-17,89.89,26
Store_2,Text_76,Text_76,B,Product_77,2023-03-18,68.1,10
Store_3,Text_77,Text_77,C,Product_78,2023-03-19,40.47,25
Store_4,Text_78,Text_78,A,Product_79,2023-03-20,38.4,8
Store_5,Text_79,Text_79,B,Product_80,2023-03-21,45.61,16
Store_1,Text_80,Text_80,C,Product_81,2023-03-22,88.3,40
Store_2,Text_81,Text_81,A,Product_82,2023-03-23,93.29,27
Store_3,Text_82,Text_82,B,Product_83,2023-03-24,23.69,11
Store_4,Text_83,Text_83,C,Product_84,2023-03-25,58.39,38
Store_5,Text_84,Text_84,A,Product_85,2023-03-26,37.23,47
Store_1,Text_85,Text_85,B,Product_86,2023-03-27,1.9,18
Store_2,Text_86,Text_86,C,Product_87,2023-03-28,7.45,28
Store_3,Text_87,Text_87,A,Product_88,2023-03-29,6.88,36
Store_4,Text_88,Text_88,B,Product_89,2023-03-30,76.7,41
Store_5,Text_89,Text_89,C,Product_90,2023-03-31,48.22,2
Store_1,Text_90,Text_90,A,Product_91,2023-04-01,98.27,9
Store_2,Text_91,Text_91,B,Product_92,2023-04-02,71.58,10
Store_3,Text_92,Text_92,C,Product_93,2023-04-03,19.88,6
Store_4,Text_93,Text_93,A,Product_94,2023-04-04,35.62,19
Store_5,Text_94,Text_94,B,Product_95,2023-04-05,32.7,42
Store_1,Text_95,Text_95,C,Product_96,2023-04-06,89.27,37
Store_2,Text_96,Text_96,A,Product_97,2023-04-07,2.97,20
Store_3,Text_97,Text_97,B,Product_98,2023-04-08,36.91,37
Store_4,Text_98,Text_98,C,Product_99,2023-04-09,98.95,40
Store_5,Text_99,Text_99,A,Product_100,2023-04-10,70.45,23
Store_1,Text_100,Text_100,B,Product_101,2023-04-11,84.22,16
Store_2,Text_101,Text_101,C,Product_102,2023-04-12,43.19,44
Store_3,Text_102,Text_102,A,Product_103,2023-04-13,17.09,6
Store_4,Text_103,Text_103,B,Product_104,2023-04-14,94.61,19
Store_5,Text_104,Text_104,C,Product_105,2023-04-15,22.09,29
Store_1,Text_105,Text_105,A,Product_106,2023-04-16,75.94,46
Store_2,Text_106,Text_106,B,Product_107,2023-04-17,41.94,27
Store_3,Text_107,Text_107,C,Product_108,2023-04-18,19.02,48
Store_4,Text_108,Text_108,A,Product_109,2023-04-19,83.14,32
Store_5,Text_109,Text_109,B,Product_110,2023-04-20,28.08,35
Store_1,Text_110,Text_110,C,Product_111,2023-04-21,45.02,28
Store_2,Text_111,Text_111,A,Product_112,2023-04-22,46.26,49
Store_3,Text_112,Text_112,B,Product_113,2023-04-23,33.25,10
Store_4,Text_113,Text_113,C,Product_114,2023-04-24,40.06,1
Store_5,Text_114,Text_114,A,Product_115,2023-04-25,30.46,7
Store_1,Text_115,Text_115,B,Product_116,2023-04-26,65.91,31
Store_2,Text_116,Text_116,C,Product_117,2023-04-27,51.0,46
Store_3,Text_117,Text_117,A,Product_118,2023-04-28,18.19,14
Store_4,Text_118,Text_118,B,Product_119,2023-04-29,30.02,12
Store_5,Text_119,Text_119,C,Product_120,2023-04-30,63.51,6
Store_1,Text_120,Text_120,A,Product_121,2023-05-01,84.24,10
Store_2,Text_121,Text_121,B,Product_122,2023-05-02,61.6,12
Store_3,Text_122,Text_122,C,Product_123,2023-05-03,19.58,32
Store_4,Text_123,Text_123,A,Product_124,2023-05-04,36.72,7
Store_5,Text_124,Text_124,B,Product_125,2023-05-05,81.91,8
Store_1,Text_125,Text_125,C,Product_126,2023-05-06,93.65,11
Store_2,Text_126,Text_126,A,Product_127,2023-05-07,27.81,49
Store_3,Text_127,Text_127,B,Product_128,2023-05-08,53.57,10
Store_4,Text_128,Text_128,C,Product_129,2023-05-09,71.1,46
Store_5,Text_129,Text_129,A,Product_130,2023-05-10,19.15,4
Store_1,Text_130,Text_130,B,Product_131,2023-05-11,21.6,31
Store_2,Text_131,Text_131,C,Product_132,2023-05-12,89.32,23
Store_3,Text_132,Text_132,A,Product_133,2023-05-13,19.99,25
Store_4,Text_133,Text_133,B,Product_134,2023-05-14,4.29,46
Store_5,Text_134,Text_134,C,Product_135,2023-05-15,28.85,14
Store_1,Text_135,Text_135,A,Product_136,2023-05-16,97.33,19
Store_2,Text_136,Text_136,B,Product_137,2023-05-17,31.64,20
Store_3,Text_137,Text_137,C,Product_138,2023-05-18,30.94,27
Store_4,Text_138,Text_138,A,Product_139,2023-05-19,91.3,10
Store_5,Text_139,Text_139,B,Product_140,2023-05-20,17.43,8
Store_1,Text_140,Text_140,C,Product_141,2023-05-21,34.56,49
Store_2,Text_141,Text_141,A,Product_142,2023-05-22,8.79,11
Store_3,Text_142,Text_142,B,Product_143,2023-05-23,59.28,40
Store_4,Text_143,Text_143,C,Product_144,2023-05-24,1.89,15
Store_5,Text_144,Text_144,A,Product_145,2023-05-25,61.75,4
Store_1,Text_145,Text_145,B,Product_146,2023-05-26,32.09,33
Store_2,Text_146,Text_146,C,Product_147,2023-05-27,73.09,16
Store_3,Text_147,Text_147,A,Product_148,2023-05-28,42.56,42
Store_4,Text_148,Text_148,B,Product_149,2023-05-29,86.52,33
Store_5,Text_149,Text_149,C,Product_150,2023-05-30,39.98,48
Store_1,Text_150,Text_150,A,Product_151,2023-05-31,83.17,26
Store_2,Text_151,Text_151,B,Product_152,2023-06-01,71.17,1
Store_3,Text_152,Text_152,C,Product_153,2023-06-02,37.99,25
Store_4,Text_153,Text_153,A,Product_154,2023-06-03,91.39,3
Store_5,Text_154,Text_154,B,Product_155,2023-06-04,77.86,45
Store_1,Text_155,Text_155,C,Product_156,2023-06-05,97.09,28
Store_2,Text_156,Text_156,A,Product_157,2023-06-06,64.69,18
Store_3,Text_157,Text_157,B,Product_158,2023-06-07,62.36,38
Store_4,Text_158,Text_158,C,Product_159,2023-06-08,98.89,9
Store_5,Text_159,Text_159,A,Product_160,2023-06-09,71.76,22
Store_1,Text_160,Text_160,B,Product_161,2023-06-10,57.99,47
Store_2,Text_161,Text_161,C,Product_162,2023-06-11,84.48,48
Store_3,Text_162,Text_162,A,Product_163,2023-06-12,81.95,3
Store_4,Text_163,Text_163,B,Product_164,2023-06-13,53.14,32
Store_5,Text_164,Text_164,C,Product_165,2023-06-14,25.67,3
Store_1,Text_165,Text_165,A,Product_166,2023-06-15,40.48,46
Store_2,Text_166,Text_166,B,Product_167,2023-06-16,36.17,19
Store_3,Text_167,Text_167,C,Product_168,2023-06-17,60.19,9
Store_4,Text_168,Text_168,A,Product_169,2023-06-18,21.17,26
Store_5,Text_169,Text_169,B,Product_170,2023-06-19,79.42,15
Store_1,Text_170,Text_170,C,Product_171,2023-06-20,69.49,4
Store_2,Text_171,Text_171,A,Product_172,2023-06-21,51.13,5
Store_3,Text_172,Text_172,B,Product_173,2023-06-22,34.88,43
Store_4,Text_173,Text_173,C,Product_174,2023-06-23,1.66,8
Store_5,Text_174,Text_174,A,Product_175,2023-06-24,14.23,13
Store_1,Text_175,Text_175,B,Product_176,2023-06-25,11.0,3
Store_2,Text_176,Text_176,C,Product_177,2023-06-26,97.05,13
Store_3,Text_177,Text_177,A,Product_178,2023-06-27,22.11,30
Store_4,Text_178,Text_178,B,Product_179,2023-06-28,21.11,38
Store_5,Text_179,Text_179,C,Product_180,2023-06-29,62.75,36
Store_1,Text_180,Text_180,A,Product_181,2023-06-30,3.69,37
Store_2,Text_181,Text_181,B,Product_182,2023-07-01,64.06,47
Store_3,Text_182,Text_182,C,Product_183,2023-07-02,97.99,22
Store_4,Text_183,Text_183,A,Product_184,2023-07-03,29.39,3
Store_5,Text_184,Text_184,B,Product_185,2023-07-04,37.55,16
Store_1,Text_185,Text_185,C,Product_186,2023-07-05,96.4,44
Store_2,Text_186,Text_186,A,Product_187,2023-07-06,17.35,29
Store_3,Text_187,Text_187,B,Product_188,2023-07-07,48.26,23
Store_4,Text_188,Text_188,C,Product_189,2023-07-08,58.34,9
Store_5,Text_189,Text_189,A,Product_190,2023-07-09,88.23,38
Store_1,Text_190,Text_190,B,Product_191,2023-07-10,92.56,25
Store_2,Text_191,Text_191,C,Product_192,2023-07-11,46.29,9
Store_3,Text_192,Text_192,A,Product_193,2023-07-12,50.48,1
Store_4,Text_193,Text_193,B,Product_194,2023-07-13,29.14,43
Store_5,Text_194,Text_194,C,Product_195,2023-07-14,46.11,27
Store_1,Text_195,Text_195,A,Product_196,2023-07-15,6.28,3
Store_2,Text_196,Text_196,B,Product_197,2023-07-16,10.61,9
Store_3,Text_197,Text_197,C,Product_198,2023-07-17,3.09,34
Store_4,Text_198,Text_198,A,Product_199,2023-07-18,53.12,2
Store_5,Text_199,Text_199,B,Product_200,2023-07-19,48.86,29
Store_1,Text_200,Text_200,C,Product_201,2023-07-20,64.33,23
Store_2,Text_201,Text_201,A,Product_202,2023-07-21,29.61,30
Store_3,Text_202,Text_202,B,Product_203,2023-07-22,42.01,6
Store_4,Text_203,Text_203,C,Product_204,2023-07-23,76.56,44
Store_5,Text_204,Text_204,A,Product_205,2023-07-24,99.52,26
Store_1,Text_205,Text_205,B,Product_206,2023-07-25,78.69,40
Store_2,Text_206,Text_206,C,Product_207,2023-07-26,48.47,9
Store_3,Text_207,Text_207,A,Product_208,2023-07-27,92.87,6
Store_4,Text_208,Text_208,B,Product_209,2023-07-28,91.44,23
Store_5,Text_209,Text_209,C,Product_210,2023-07-29,75.95,10
Store_1,Text_210,Text_210,A,Product_211,2023-07-30,31.52,12
Store_2,Text_211,Text_211,B,Product_212,2023-07-31,59.25,19
Store_3,Text_212,Text_212,C,Product_213,2023-08-01,70.59,15
Store_4,Text_213,Text_213,A,Product_214,2023-08-02,95.89,42
Store_5,Text_214,Text_214,B,Product_215,2023-08-03,6.15,49
Store_1,Text_215,Text_215,C,Product_216,2023-08-04,54.44,41
Store_2,Text_216,Text_216,A,Product_217,2023-08-05,54.34,44
Store_3,Text_217,Text_217,B,Product_218,2023-08-06,93.06,38
Store_4,Text_218,Text_218,C,Product_219,2023-08-07,39.25,15
Store_5,Text_219,Text_219,A,Product_220,2023-08-08,15.11,26
Store_1,Text_220,Text_220,B,Product_221,2023-08-09,19.51,21
Store_2,Text_221,Text_221,C,Product_222,2023-08-10,67.51,3
Store_3,Text_222,Text_222,A,Product_223,2023-08-11,96.51,33
Store_4,Text_223,Text_223,B,Product_224,2023-08-12,24.13,43
Store_5,Text_224,Text_224,C,Product_225,2023-08-13,86.68,4
Store_1,Text_225,Text_225,A,Product_226,2023-08-14,21.76,13
Store_2,Text_226,Text_226,B,Product_227,2023-08-15,22.77,28
Store_3,Text_227,Text_227,C,Product_228,2023-08-16,88.25,46
Store_4,Text_228,Text_228,A,Product_229,2023-08-17,97.25,39
Store_5,Text_229,Text_229,B,Product_230,2023-08-18,90.5,48
Store_1,Text_230,Text_230,C,Product_231,2023-08-19,21.15,19
Store_2,Text_231,Text_231,A,Product_232,2023-08-20,30.79,47
Store_3,Text_232,Text_232,B,Product_233,2023-08-21,55.5,42
Store_4,Text_233,Text_233,C,Product_234,2023-08-22,89.35,45
Store_5,Text_234,Text_234,A,Product_235,2023-08-23,37.53,47
Store_1,Text_235,Text_235,B,Product_236,2023-08-24,24.82,7
Store_2,Text_236,Text_236,C,Product_237,2023-08-25,34.41,31
Store_3,Text_237,Text_237,A,Product_238,2023-08-26,9.57,4
Store_4,Text_238,Text_238,B,Product_239,2023-08-27,93.13,1
Store_5,Text_239,Text_239,C,Product_240,2023-08-28,54.31,14
Store_1,Text_240,Text_240,A,Product_241,2023-08-29,27.25,12
Store_2,Text_241,Text_241,B,Product_242,2023-08-30,15.88,42
Store_3,Text_242,Text_242,C,Product_243,2023-08-31,97.28,18
Store_4,Text_243,Text_243,A,Product_244,2023-09-01,58.14,8
Store_5,Text_244,Text_244,B,Product_245,2023-09-02,56.53,17
Store_1,Text_245,Text_245,C,Product_246,2023-09-03,33.89,16
Store_2,Text_246,Text_246,A,Product_247,2023-09-04,92.74,22
Store_3,Text_247,Text_247,B,Product_248,2023-09-05,80.7,34
Store_4,Text_248,Text_248,C,Product_249,2023-09-06,64.45,30
Store_5,Text_249,Text_249,A,Product_250,2023-09-07,40.81,20
Store_1,Text_250,Text_250,B,Product_251,2023-09-08,77.24,33
Store_2,Text_251,Text_251,C,Product_252,2023-09-09,18.16,18
Store_3,Text_252,Text_252,A,Product_253,2023-09-10,33.81,33
Store_4,Text_253,Text_253,B,Product_254,2023-09-11,98.74,26
Store_5,Text_254,Text_254,C,Product_255,2023-09-12,66.19,18
Store_1,Text_255,Text_255,A,Product_256,2023-09-13,32.66,24
Store_2,Text_256,Text_256,B,Product_257,2023-09-14,64.62,47
Store_3,Text_257,Text_257,C,Product_258,2023-09-15,29.76,4
Store_4,Text_258,Text_258,A,Product_259,2023-09-16,69.48,21
Store_5,Text_259,Text_259,B,Product_260,2023-09-17,62.62,15
Store_1,Text_260,Text_260,C,Product_261,2023-09-18,51.83,20
Store_2,Text_261,Text_261,A,Product_262,2023-09-19,57.43,39
Store_3,Text_262,Text_262,B,Product_263,2023-09-20,56.39,38
Store_4,Text_263,Text_263,C,Product_264,2023-09-21,91.14,28
Store_5,Text_264,Text_264,A,Product_265,2023-09-22,99.26,26
Store_1,Text_265,Text_265,B,Product_266,2023-09-23,72.9,37
Store_2,Text_266,Text_266,C,Product_267,2023-09-24,85.49,37
Store_3,Text_267,Text_267,A,Product_268,2023-09-25,82.54,38
Store_4,Text_268,Text_268,B,Product_269,2023-09-26,77.9,23
Store_5,Text_269,Text_269,C,Product_270,2023-09-27,70.71,13
Store_1,Text_270,Text_270,A,Product_271,2023-09-28,52.26,4
Store_2,Text_271,Text_271,B,Product_272,2023-09-29,16.63,17
Store_3,Text_272,Text_272,C,Product_273,2023-09-30,91.6,29
Store_4,Text_273,Text_273,A,Product_274,2023-10-01,33.79,46
Store_5,Text_274,Text_274,B,Product_275,2023-10-02,12.42,28
Store_1,Text_275,Text_275,C,Product_276,2023-10-03,87.4,23
Store_2,Text_276,Text_276,A,Product_277,2023-10-04,3.71,29
Store_3,Text_277,Text_277,B,Product_278,2023-10-05,32.86,10
Store_4,Text_278,Text_278,C,Product_279,2023-10-06,34.04,34
Store_5,Text_279,Text_279,A,Product_280,2023-10-07,86.8,8
Store_1,Text_280,Text_280,B,Product_281,2023-10-08,35.03,35
Store_2,Text_281,Text_281,C,Product_282,2023-10-09,9.16,31
Store_3,Text_282,Text_282,A,Product_283,2023-10-10,32.24,13
Store_4,Text_283,Text_283,B,Product_284,2023-10-11,48.15,43
Store_5,Text_284,Text_284,C,Product_285,2023-10-12,49.36,23
Store_1,Text_285,Text_285,A,Product_286,2023-10-13,75.21,13
Store_2,Text_286,Text_286,B,Product_287,2023-10-14,68.2,5
Store_3,Text_287,Text_287,C,Product_288,2023-10-15,43.23,15
Store_4,Text_288,Text_288,A,Product_289,2023-10-16,77.17,11
Store_5,Text_289,Text_289,B,Product_290,2023-10-17,16.49,9
Store_1,Text_290,Text_290,C,Product_291,2023-10-18,21.92,6
Store_2,Text_291,Text_291,A,Product_292,2023-10-19,57.91,46
Store_3,Text_292,Text_292,B,Product_293,2023-10-20,6.55,43
Store_4,Text_293,Text_293,C,Product_294,2023-10-21,22.59,27
Store_5,Text_294,Text_294,A,Product_295,2023-10-22,60.25,21
Store_1,Text_295,Text_295,B,Product_296,2023-10-23,99.56,9
Store_2,Text_296,Text_296,C,Product_297,2023-10-24,85.89,1
Store_3,Text_297,Text_297,A,Product_298,2023-10-25,95.77,4
Store_4,Text_298,Text_298,B,Product_299,2023-10-26,13.81,43
Store_5,Text_299,Text_299,C,Product_300,2023-10-27,8.74,47
Store_1,Text_300,Text_300,A,Product_301,2023-10-28,41.11,4
Store_2,Text_301,Text_301,B,Product_302,2023-10-29,66.05,9
Store_3,Text_302,Text_302,C,Product_303,2023-10-30,44.36,36
Store_4,Text_303,Text_303,A,Product_304,2023-10-31,52.13,5
Store_5,Text_304,Text_304,B,Product_305,2023-11-01,6.59,27
Store_1,Text_305,Text_305,C,Product_306,2023-11-02,76.19,25
Store_2,Text_306,Text_306,A,Product_307,2023-11-03,56.32,11
Store_3,Text_307,Text_307,B,Product_308,2023-11-04,27.91,34
Store_4,Text_308,Text_308,C,Product_309,2023-11-05,64.8,5
Store_5,Text_309,Text_309,A,Product_310,2023-11-06,2.92,35
Store_1,Text_310,Text_310,B,Product_311,2023-11-07,26.69,9
Store_2,Text_311,Text_311,C,Product_312,2023-11-08,35.45,21
Store_3,Text_312,Text_312,A,Product_313,2023-11-09,93.96,10
Store_4,Text_313,Text_313,B,Product_314,2023-11-10,77.91,9
Store_5,Text_314,Text_314,C,Product_315,2023-11-11,8.75,2
Store_1,Text_315,Text_315,A,Product_316,2023-11-12,86.87,14
Store_2,Text_316,Text_316,B,Product_317,2023-11-13,98.24,16
Store_3,Text_317,Text_317,C,Product_318,2023-11-14,67.26,7
Store_4,Text_318,Text_318,A,Product_319,2023-11-15,60.44,21
Store_5,Text_319,Text_319,B,Product_320,2023-11-16,95.36,29
Store_1,Text_320,Text_320,C,Product_321,2023-11-17,77.51,21
Store_2,Text_321,Text_321,A,Product_322,2023-11-18,16.14,2
Store_3,Text_322,Text_322,B,Product_323,2023-11-19,5.51,7
Store_4,Text_323,Text_323,C,Product_324,2023-11-20,16.51,15
Store_5,Text_324,Text_324,A,Product_325,2023-11-21,31.88,21
Store_1,Text_325,Text_325,B,Product_326,2023-11-22,67.35,27
Store_2,Text_326,Text_326,C,Product_327,2023-11-23,38.36,44
Store_3,Text_327,Text_327,A,Product_328,2023-11-24,39.78,14
Store_4,Text_328,Text_328,B,Product_329,2023-11-25,23.93,36
Store_5,Text_329,Text_329,C,Product_330,2023-11-26,85.97,26
Store_1,Text_330,Text_330,A,Product_331,2023-11-27,17.95,46
Store_2,Text_331,Text_331,B,Product_332,2023-11-28,52.78,11
Store_3,Text_332,Text_332,C,Product_333,2023-11-29,31.05,48
Store_4,Text_333,Text_333,A,Product_334,2023-11-30,61.21,11
Store_5,Text_334,Text_334,B,Product_335,2023-12-01,29.86,35
Store_1,Text_335,Text_335,C,Product_336,2023-12-02,81.41,23
Store_2,Text_336,Text_336,A,Product_337,2023-12-03,72.62,16
Store_3,Text_337,Text_337,B,Product_338,2023-12-04,56.32,27
Store_4,Text_338,Text_338,C,Product_339,2023-12-05,74.18,22
Store_5,Text_339,Text_339,A,Product_340,2023-12-06,81.81,12
Store_1,Text_340,Text_340,B,Product_341,2023-12-07,96.86,23
Store_2,Text_341,Text_341,C,Product_342,2023-12-08,8.23,38
Store_3,Text_342,Text_342,A,Product_343,2023-12-09,39.9,20
Store_4,Text_343,Text_343,B,Product_344,2023-12-10,37.28,35
Store_5,Text_344,Text_344,C,Product_345,2023-12-11,11.76,22
Store_1,Text_345,Text_345,A,Product_346,2023-12-12,89.16,22
Store_2,Text_346,Text_346,B,Product_347,2023-12-13,91.32,44
Store_3,Text_347,Text_347,C,Product_348,2023-12-14,71.79,49
Store_4,Text_348,Text_348,A,Product_349,2023-12-15,79.09,33
Store_5,Text_349,Text_349,B,Product_350,2023-12-16,70.83,48
Store_1,Text_350,Text_350,C,Product_351,2023-12-17,23.53,12
Store_2,Text_351,Text_351,A,Product_352,2023-12-18,91.05,23
Store_3,Text_352,Text_352,B,Product_353,2023-12-19,91.86,18
Store_4,Text_353,Text_353,C,Product_354,2023-12-20,59.3,28
Store_5,Text_354,Text_354,A,Product_355,2023-12-21,80.03,17
Store_1,Text_355,Text_355,B,Product_356,2023-12-22,20.79,40
Store_2,Text_356,Text_356,C,Product_357,2023-12-23,97.78,33
Store_3,Text_357,Text_357,A,Product_358,2023-12-24,26.53,16
Store_4,Text_358,Text_358,B,Product_359,2023-12-25,34.13,10
Store_5,Text_359,Text_359,C,Product_360,2023-12-26,96.83,18
Store_1,Text_360,Text_360,A,Product_361,2023-12-27,80.43,49
Store_2,Text_361,Text_361,B,Product_362,2023-12-28,4.34,25
Store_3,Text_362,Text_362,C,Product_363,2023-12-29,86.11,40
Store_4,Text_363,Text_363,A,Product_364,2023-12-30,80.86,13
Store_5,Text_364,Text_364,B,Product_365,2023-12-31,63.46,48
Store_1,Text_365,Text_365,C,Product_366,2024-01-01,91.59,47
Store_2,Text_366,Text_366,A,Product_367,2024-01-02,21.64,5
Store_3,Text_367,Text_367,B,Product_368,2024-01-03,23.49,35
Store_4,Text_368,Text_368,C,Product_369,2024-01-04,98.68,35
Store_5,Text_369,Text_369,A,Product_370,2024-01-05,19.03,24
Store_1,Text_370,Text_370,B,Product_371,2024-01-06,87.44,34
Store_2,Text_371,Text_371,C,Product_372,2024-01-07,25.82,21
Store_3,Text_372,Text_372,A,Product_373,2024-01-08,2.75,33
Store_4,Text_373,Text_373,B,Product_374,2024-01-09,40.07,29
Store_5,Text_374,Text_374,C,Product_375,2024-01-10,14.9,14
Store_1,Text_375,Text_375,A,Product_376,2024-01-11,31.99,26
Store_2,Text_376,Text_376,B,Product_377,2024-01-12,34.56,22
Store_3,Text_377,Text_377,C,Product_378,2024-01-13,89.82,20
Store_4,Text_378,Text_378,A,Product_379,2024-01-14,28.28,34
Store_5,Text_379,Text_379,B,Product_380,2024-01-15,40.44,15
Store_1,Text_380,Text_380,C,Product_381,2024-01-16,65.77,12
Store_2,Text_381,Text_381,A,Product_382,2024-01-17,43.36,18
Store_3,Text_382,Text_382,B,Product_383,2024-01-18,37.71,29
Store_4,Text_383,Text_383,C,Product_384,2024-01-19,81.12,32
Store_5,Text_384,Text_384,A,Product_385,2024-01-20,3.47,49
Store_1,Text_385,Text_385,B,Product_386,2024-01-21,47.87,6
Store_2,Text_386,Text_386,C,Product_387,2024-01-22,89.84,32
Store_3,Text_387,Text_387,A,Product_388,2024-01-23,97.29,27
Store_4,Text_388,Text_388,B,Product_389,2024-01-24,1.22,13
Store_5,Text_389,Text_389,C,Product_390,2024-01-25,28.9,15
Store_1,Text_390,Text_390,A,Product_391,2024-01-26,72.43,45
Store_2,Text_391,Text_391,B,Product_392,2024-01-27,49.84,11
Store_3,Text_392,Text_392,C,Product_393,2024-01-28,94.55,45
Store_4,Text_393,Text_393,A,Product_394,2024-01-29,36.66,39
Store_5,Text_394,Text_394,B,Product_395,2024-01-30,23.88,37
Store_1,Text_395,Text_395,C,Product_396,2024-01-31,56.29,27
Store_2,Text_396,Text_396,A,Product_397,2024-02-01,91.72,35
Store_3,Text_397,Text_397,B,Product_398,2024-02-02,17.9,27
