Store,Department,Space,Category,Calculation Group,Product,Date,QTY,Price,Original_Ind
Store_4,Text_28,Text_28,B,B,Product_29,2023-01-29,15,67.49,Text_28
Store_5,Text_29,Text_29,C,C,Product_30,2023-01-30,22,29.6,Text_29
Store_1,Text_30,Text_30,A,A,Product_31,2023-01-31,10,75.62,Text_30
Store_2,Text_31,Text_31,B,B,Product_32,2023-02-01,2,70.48,Text_31
Store_3,Text_32,Text_32,C,C,Product_33,2023-02-02,11,20.71,Text_32
Store_4,Text_33,Text_33,A,A,Product_34,2023-02-03,46,85.67,Text_33
Store_5,Text_34,Text_34,B,B,Product_35,2023-02-04,20,26.74,Text_34
Store_1,Text_35,Text_35,C,C,Product_36,2023-02-05,13,7.7,Text_35
Store_2,Text_36,Text_36,A,A,Product_37,2023-02-06,28,93.98,Text_36
Store_3,Text_37,Text_37,B,B,Product_38,2023-02-07,47,76.53,Text_37
Store_4,Text_38,Text_38,C,C,Product_39,2023-02-08,36,27.41,Text_38
Store_5,Text_39,Text_39,A,A,Product_40,2023-02-09,8,69.39,Text_39
Store_1,Text_40,Text_40,B,B,Product_41,2023-02-10,7,71.4,Text_40
Store_2,Text_41,Text_41,C,C,Product_42,2023-02-11,8,86.94,Text_41
Store_3,Text_42,Text_42,A,A,Product_43,2023-02-12,34,63.2,Text_42
Store_4,Text_43,Text_43,B,B,Product_44,2023-02-13,25,75.25,Text_43
Store_5,Text_44,Text_44,C,C,Product_45,2023-02-14,41,33.86,Text_44
Store_1,Text_45,Text_45,A,A,Product_46,2023-02-15,37,90.82,Text_45
Store_2,Text_46,Text_46,B,B,Product_47,2023-02-16,11,53.28,Text_46
Store_3,Text_47,Text_47,C,C,Product_48,2023-02-17,10,69.3,Text_47
Store_4,Text_48,Text_48,A,A,Product_49,2023-02-18,11,77.6,Text_48
Store_5,Text_49,Text_49,B,B,Product_50,2023-02-19,19,94.27,Text_49
Store_1,Text_50,Text_50,C,C,Product_51,2023-02-20,39,48.76,Text_50
Store_2,Text_51,Text_51,A,A,Product_52,2023-02-21,9,93.75,Text_51
Store_3,Text_52,Text_52,B,B,Product_53,2023-02-22,43,19.54,Text_52
Store_4,Text_53,Text_53,C,C,Product_54,2023-02-23,31,32.04,Text_53
Store_5,Text_54,Text_54,A,A,Product_55,2023-02-24,29,7.89,Text_54
Store_1,Text_55,Text_55,B,B,Product_56,2023-02-25,33,61.51,Text_55
Store_2,Text_56,Text_56,C,C,Product_57,2023-02-26,40,62.81,Text_56
Store_3,Text_57,Text_57,A,A,Product_58,2023-02-27,30,77.9,Text_57
Store_4,Text_58,Text_58,B,B,Product_59,2023-02-28,18,83.63,Text_58
Store_5,Text_59,Text_59,C,C,Product_60,2023-03-01,26,34.5,Text_59
Store_1,Text_60,Text_60,A,A,Product_61,2023-03-02,45,76.02,Text_60
Store_2,Text_61,Text_61,B,B,Product_62,2023-03-03,10,89.7,Text_61
Store_3,Text_62,Text_62,C,C,Product_63,2023-03-04,29,65.61,Text_62
Store_4,Text_63,Text_63,A,A,Product_64,2023-03-05,15,40.25,Text_63
Store_5,Text_64,Text_64,B,B,Product_65,2023-03-06,43,62.4,Text_64
Store_1,Text_65,Text_65,C,C,Product_66,2023-03-07,29,9.15,Text_65
Store_2,Text_66,Text_66,A,A,Product_67,2023-03-08,29,54.69,Text_66
Store_3,Text_67,Text_67,B,B,Product_68,2023-03-09,18,22.07,Text_67
Store_4,Text_68,Text_68,C,C,Product_69,2023-03-10,14,50.0,Text_68
Store_5,Text_69,Text_69,A,A,Product_70,2023-03-11,41,8.21,Text_69
Store_1,Text_70,Text_70,B,B,Product_71,2023-03-12,30,38.89,Text_70
Store_2,Text_71,Text_71,C,C,Product_72,2023-03-13,41,71.68,Text_71
Store_3,Text_72,Text_72,A,A,Product_73,2023-03-14,2,54.59,Text_72
Store_4,Text_73,Text_73,B,B,Product_74,2023-03-15,5,62.49,Text_73
Store_5,Text_74,Text_74,C,C,Product_75,2023-03-16,4,56.39,Text_74
Store_1,Text_75,Text_75,A,A,Product_76,2023-03-17,8,12.95,Text_75
Store_2,Text_76,Text_76,B,B,Product_77,2023-03-18,23,24.87,Text_76
Store_3,Text_77,Text_77,C,C,Product_78,2023-03-19,41,36.23,Text_77
Store_4,Text_78,Text_78,A,A,Product_79,2023-03-20,49,76.87,Text_78
Store_5,Text_79,Text_79,B,B,Product_80,2023-03-21,7,43.89,Text_79
Store_1,Text_80,Text_80,C,C,Product_81,2023-03-22,3,40.12,Text_80
Store_2,Text_81,Text_81,A,A,Product_82,2023-03-23,34,4.62,Text_81
Store_3,Text_82,Text_82,B,B,Product_83,2023-03-24,47,23.91,Text_82
Store_4,Text_83,Text_83,C,C,Product_84,2023-03-25,10,15.12,Text_83
Store_5,Text_84,Text_84,A,A,Product_85,2023-03-26,12,86.53,Text_84
Store_1,Text_85,Text_85,B,B,Product_86,2023-03-27,35,35.66,Text_85
Store_2,Text_86,Text_86,C,C,Product_87,2023-03-28,5,10.33,Text_86
Store_3,Text_87,Text_87,A,A,Product_88,2023-03-29,31,54.32,Text_87
Store_4,Text_88,Text_88,B,B,Product_89,2023-03-30,12,6.77,Text_88
Store_5,Text_89,Text_89,C,C,Product_90,2023-03-31,22,60.6,Text_89
Store_1,Text_90,Text_90,A,A,Product_91,2023-04-01,24,38.48,Text_90
Store_2,Text_91,Text_91,B,B,Product_92,2023-04-02,38,57.45,Text_91
Store_3,Text_92,Text_92,C,C,Product_93,2023-04-03,5,54.34,Text_92
Store_4,Text_93,Text_93,A,A,Product_94,2023-04-04,49,15.74,Text_93
Store_5,Text_94,Text_94,B,B,Product_95,2023-04-05,10,86.91,Text_94
Store_1,Text_95,Text_95,C,C,Product_96,2023-04-06,25,28.82,Text_95
Store_2,Text_96,Text_96,A,A,Product_97,2023-04-07,5,32.2,Text_96
Store_3,Text_97,Text_97,B,B,Product_98,2023-04-08,27,94.28,Text_97
Store_4,Text_98,Text_98,C,C,Product_99,2023-04-09,3,40.44,Text_98
Store_5,Text_99,Text_99,A,A,Product_100,2023-04-10,14,71.79,Text_99
Store_1,Text_100,Text_100,B,B,Product_101,2023-04-11,45,22.46,Text_100
Store_2,Text_101,Text_101,C,C,Product_102,2023-04-12,42,5.03,Text_101
Store_3,Text_102,Text_102,A,A,Product_103,2023-04-13,24,37.11,Text_102
Store_4,Text_103,Text_103,B,B,Product_104,2023-04-14,37,13.28,Text_103
Store_5,Text_104,Text_104,C,C,Product_105,2023-04-15,32,76.95,Text_104
Store_1,Text_105,Text_105,A,A,Product_106,2023-04-16,1,37.09,Text_105
Store_2,Text_106,Text_106,B,B,Product_107,2023-04-17,12,95.03,Text_106
Store_3,Text_107,Text_107,C,C,Product_108,2023-04-18,31,13.3,Text_107
Store_4,Text_108,Text_108,A,A,Product_109,2023-04-19,20,15.42,Text_108
Store_5,Text_109,Text_109,B,B,Product_110,2023-04-20,19,88.98,Text_109
Store_1,Text_110,Text_110,C,C,Product_111,2023-04-21,3,54.93,Text_110
Store_2,Text_111,Text_111,A,A,Product_112,2023-04-22,37,15.89,Text_111
Store_3,Text_112,Text_112,B,B,Product_113,2023-04-23,29,68.37,Text_112
Store_4,Text_113,Text_113,C,C,Product_114,2023-04-24,15,48.85,Text_113
Store_5,Text_114,Text_114,A,A,Product_115,2023-04-25,31,97.48,Text_114
Store_1,Text_115,Text_115,B,B,Product_116,2023-04-26,34,14.8,Text_115
Store_2,Text_116,Text_116,C,C,Product_117,2023-04-27,40,12.61,Text_116
Store_3,Text_117,Text_117,A,A,Product_118,2023-04-28,41,31.38,Text_117
Store_4,Text_118,Text_118,B,B,Product_119,2023-04-29,34,33.88,Text_118
Store_5,Text_119,Text_119,C,C,Product_120,2023-04-30,28,56.06,Text_119
Store_1,Text_120,Text_120,A,A,Product_121,2023-05-01,28,79.83,Text_120
Store_2,Text_121,Text_121,B,B,Product_122,2023-05-02,31,56.0,Text_121
Store_3,Text_122,Text_122,C,C,Product_123,2023-05-03,31,30.53,Text_122
Store_4,Text_123,Text_123,A,A,Product_124,2023-05-04,40,95.74,Text_123
Store_5,Text_124,Text_124,B,B,Product_125,2023-05-05,30,8.07,Text_124
Store_1,Text_125,Text_125,C,C,Product_126,2023-05-06,18,38.84,Text_125
Store_2,Text_126,Text_126,A,A,Product_127,2023-05-07,29,44.91,Text_126
Store_3,Text_127,Text_127,B,B,Product_128,2023-05-08,38,11.7,Text_127
Store_4,Text_128,Text_128,C,C,Product_129,2023-05-09,34,21.77,Text_128
Store_5,Text_129,Text_129,A,A,Product_130,2023-05-10,15,25.2,Text_129
Store_1,Text_130,Text_130,B,B,Product_131,2023-05-11,13,39.48,Text_130
Store_2,Text_131,Text_131,C,C,Product_132,2023-05-12,36,67.78,Text_131
Store_3,Text_132,Text_132,A,A,Product_133,2023-05-13,5,57.21,Text_132
Store_4,Text_133,Text_133,B,B,Product_134,2023-05-14,42,10.51,Text_133
Store_5,Text_134,Text_134,C,C,Product_135,2023-05-15,49,98.18,Text_134
Store_1,Text_135,Text_135,A,A,Product_136,2023-05-16,5,61.62,Text_135
Store_2,Text_136,Text_136,B,B,Product_137,2023-05-17,17,79.19,Text_136
Store_3,Text_137,Text_137,C,C,Product_138,2023-05-18,44,11.78,Text_137
Store_4,Text_138,Text_138,A,A,Product_139,2023-05-19,34,51.45,Text_138
Store_5,Text_139,Text_139,B,B,Product_140,2023-05-20,22,67.71,Text_139
Store_1,Text_140,Text_140,C,C,Product_141,2023-05-21,11,63.91,Text_140
Store_2,Text_141,Text_141,A,A,Product_142,2023-05-22,33,94.07,Text_141
Store_3,Text_142,Text_142,B,B,Product_143,2023-05-23,14,13.92,Text_142
Store_4,Text_143,Text_143,C,C,Product_144,2023-05-24,13,87.63,Text_143
Store_5,Text_144,Text_144,A,A,Product_145,2023-05-25,36,24.5,Text_144
Store_1,Text_145,Text_145,B,B,Product_146,2023-05-26,22,44.4,Text_145
Store_2,Text_146,Text_146,C,C,Product_147,2023-05-27,36,21.41,Text_146
Store_3,Text_147,Text_147,A,A,Product_148,2023-05-28,38,33.69,Text_147
Store_4,Text_148,Text_148,B,B,Product_149,2023-05-29,7,31.38,Text_148
Store_5,Text_149,Text_149,C,C,Product_150,2023-05-30,27,89.57,Text_149
Store_1,Text_150,Text_150,A,A,Product_151,2023-05-31,43,53.66,Text_150
Store_2,Text_151,Text_151,B,B,Product_152,2023-06-01,12,90.7,Text_151
Store_3,Text_152,Text_152,C,C,Product_153,2023-06-02,38,50.73,Text_152
Store_4,Text_153,Text_153,A,A,Product_154,2023-06-03,42,82.26,Text_153
Store_5,Text_154,Text_154,B,B,Product_155,2023-06-04,46,35.5,Text_154
Store_1,Text_155,Text_155,C,C,Product_156,2023-06-05,23,87.22,Text_155
Store_2,Text_156,Text_156,A,A,Product_157,2023-06-06,4,42.1,Text_156
Store_3,Text_157,Text_157,B,B,Product_158,2023-06-07,31,66.93,Text_157
Store_4,Text_158,Text_158,C,C,Product_159,2023-06-08,17,50.67,Text_158
Store_5,Text_159,Text_159,A,A,Product_160,2023-06-09,35,49.63,Text_159
Store_1,Text_160,Text_160,B,B,Product_161,2023-06-10,16,41.98,Text_160
Store_2,Text_161,Text_161,C,C,Product_162,2023-06-11,39,39.99,Text_161
Store_3,Text_162,Text_162,A,A,Product_163,2023-06-12,23,56.69,Text_162
Store_4,Text_163,Text_163,B,B,Product_164,2023-06-13,8,32.13,Text_163
Store_5,Text_164,Text_164,C,C,Product_165,2023-06-14,39,35.63,Text_164
Store_1,Text_165,Text_165,A,A,Product_166,2023-06-15,26,93.8,Text_165
Store_2,Text_166,Text_166,B,B,Product_167,2023-06-16,1,31.26,Text_166
Store_3,Text_167,Text_167,C,C,Product_168,2023-06-17,16,17.19,Text_167
Store_4,Text_168,Text_168,A,A,Product_169,2023-06-18,1,39.48,Text_168
Store_5,Text_169,Text_169,B,B,Product_170,2023-06-19,29,53.44,Text_169
Store_1,Text_170,Text_170,C,C,Product_171,2023-06-20,9,3.4,Text_170
Store_2,Text_171,Text_171,A,A,Product_172,2023-06-21,48,83.28,Text_171
Store_3,Text_172,Text_172,B,B,Product_173,2023-06-22,22,67.59,Text_172
Store_4,Text_173,Text_173,C,C,Product_174,2023-06-23,27,72.96,Text_173
Store_5,Text_174,Text_174,A,A,Product_175,2023-06-24,18,25.37,Text_174
Store_1,Text_175,Text_175,B,B,Product_176,2023-06-25,38,56.56,Text_175
Store_2,Text_176,Text_176,C,C,Product_177,2023-06-26,4,71.25,Text_176
Store_3,Text_177,Text_177,A,A,Product_178,2023-06-27,19,91.68,Text_177
Store_4,Text_178,Text_178,B,B,Product_179,2023-06-28,14,94.23,Text_178
Store_5,Text_179,Text_179,C,C,Product_180,2023-06-29,24,27.45,Text_179
Store_1,Text_180,Text_180,A,A,Product_181,2023-06-30,22,3.38,Text_180
Store_2,Text_181,Text_181,B,B,Product_182,2023-07-01,37,27.2,Text_181
Store_3,Text_182,Text_182,C,C,Product_183,2023-07-02,7,19.91,Text_182
Store_4,Text_183,Text_183,A,A,Product_184,2023-07-03,8,3.39,Text_183
Store_5,Text_184,Text_184,B,B,Product_185,2023-07-04,38,30.32,Text_184
Store_1,Text_185,Text_185,C,C,Product_186,2023-07-05,20,18.62,Text_185
Store_2,Text_186,Text_186,A,A,Product_187,2023-07-06,6,60.72,Text_186
Store_3,Text_187,Text_187,B,B,Product_188,2023-07-07,35,86.14,Text_187
Store_4,Text_188,Text_188,C,C,Product_189,2023-07-08,5,65.78,Text_188
Store_5,Text_189,Text_189,A,A,Product_190,2023-07-09,7,84.72,Text_189
Store_1,Text_190,Text_190,B,B,Product_191,2023-07-10,38,28.18,Text_190
Store_2,Text_191,Text_191,C,C,Product_192,2023-07-11,35,90.55,Text_191
Store_3,Text_192,Text_192,A,A,Product_193,2023-07-12,6,75.98,Text_192
Store_4,Text_193,Text_193,B,B,Product_194,2023-07-13,17,56.2,Text_193
Store_5,Text_194,Text_194,C,C,Product_195,2023-07-14,26,2.51,Text_194
Store_1,Text_195,Text_195,A,A,Product_196,2023-07-15,41,27.54,Text_195
Store_2,Text_196,Text_196,B,B,Product_197,2023-07-16,2,38.81,Text_196
Store_3,Text_197,Text_197,C,C,Product_198,2023-07-17,45,39.43,Text_197
Store_4,Text_198,Text_198,A,A,Product_199,2023-07-18,35,50.97,Text_198
Store_5,Text_199,Text_199,B,B,Product_200,2023-07-19,31,15.1,Text_199
Store_1,Text_200,Text_200,C,C,Product_201,2023-07-20,42,4.89,Text_200
Store_2,Text_201,Text_201,A,A,Product_202,2023-07-21,13,2.22,Text_201
Store_3,Text_202,Text_202,B,B,Product_203,2023-07-22,12,60.9,Text_202
Store_4,Text_203,Text_203,C,C,Product_204,2023-07-23,19,59.67,Text_203
Store_5,Text_204,Text_204,A,A,Product_205,2023-07-24,12,70.32,Text_204
Store_1,Text_205,Text_205,B,B,Product_206,2023-07-25,40,50.88,Text_205
Store_2,Text_206,Text_206,C,C,Product_207,2023-07-26,14,37.93,Text_206
Store_3,Text_207,Text_207,A,A,Product_208,2023-07-27,33,74.12,Text_207
Store_4,Text_208,Text_208,B,B,Product_209,2023-07-28,17,99.53,Text_208
Store_5,Text_209,Text_209,C,C,Product_210,2023-07-29,46,13.56,Text_209
Store_1,Text_210,Text_210,A,A,Product_211,2023-07-30,20,38.61,Text_210
Store_2,Text_211,Text_211,B,B,Product_212,2023-07-31,36,36.72,Text_211
Store_3,Text_212,Text_212,C,C,Product_213,2023-08-01,37,2.98,Text_212
Store_4,Text_213,Text_213,A,A,Product_214,2023-08-02,46,63.1,Text_213
Store_5,Text_214,Text_214,B,B,Product_215,2023-08-03,48,20.9,Text_214
Store_1,Text_215,Text_215,C,C,Product_216,2023-08-04,40,46.7,Text_215
Store_2,Text_216,Text_216,A,A,Product_217,2023-08-05,7,99.59,Text_216
Store_3,Text_217,Text_217,B,B,Product_218,2023-08-06,38,28.06,Text_217
Store_4,Text_218,Text_218,C,C,Product_219,2023-08-07,7,3.48,Text_218
Store_5,Text_219,Text_219,A,A,Product_220,2023-08-08,12,99.12,Text_219
Store_1,Text_220,Text_220,B,B,Product_221,2023-08-09,2,28.0,Text_220
Store_2,Text_221,Text_221,C,C,Product_222,2023-08-10,5,30.54,Text_221
Store_3,Text_222,Text_222,A,A,Product_223,2023-08-11,46,45.2,Text_222
Store_4,Text_223,Text_223,B,B,Product_224,2023-08-12,35,64.73,Text_223
Store_5,Text_224,Text_224,C,C,Product_225,2023-08-13,47,44.95,Text_224
Store_1,Text_225,Text_225,A,A,Product_226,2023-08-14,7,25.89,Text_225
Store_2,Text_226,Text_226,B,B,Product_227,2023-08-15,47,67.96,Text_226
Store_3,Text_227,Text_227,C,C,Product_228,2023-08-16,19,30.21,Text_227
Store_4,Text_228,Text_228,A,A,Product_229,2023-08-17,22,64.35,Text_228
Store_5,Text_229,Text_229,B,B,Product_230,2023-08-18,23,19.83,Text_229
Store_1,Text_230,Text_230,C,C,Product_231,2023-08-19,23,65.14,Text_230
Store_2,Text_231,Text_231,A,A,Product_232,2023-08-20,39,37.6,Text_231
Store_3,Text_232,Text_232,B,B,Product_233,2023-08-21,10,63.56,Text_232
Store_4,Text_233,Text_233,C,C,Product_234,2023-08-22,46,4.08,Text_233
Store_5,Text_234,Text_234,A,A,Product_235,2023-08-23,45,51.98,Text_234
Store_1,Text_235,Text_235,B,B,Product_236,2023-08-24,34,98.96,Text_235
Store_2,Text_236,Text_236,C,C,Product_237,2023-08-25,36,35.87,Text_236
Store_3,Text_237,Text_237,A,A,Product_238,2023-08-26,37,25.08,Text_237
Store_4,Text_238,Text_238,B,B,Product_239,2023-08-27,2,62.86,Text_238
Store_5,Text_239,Text_239,C,C,Product_240,2023-08-28,25,67.72,Text_239
Store_1,Text_240,Text_240,A,A,Product_241,2023-08-29,3,76.52,Text_240
Store_2,Text_241,Text_241,B,B,Product_242,2023-08-30,11,54.38,Text_241
Store_3,Text_242,Text_242,C,C,Product_243,2023-08-31,30,72.43,Text_242
Store_4,Text_243,Text_243,A,A,Product_244,2023-09-01,48,96.73,Text_243
Store_5,Text_244,Text_244,B,B,Product_245,2023-09-02,47,21.1,Text_244
Store_1,Text_245,Text_245,C,C,Product_246,2023-09-03,8,69.13,Text_245
Store_2,Text_246,Text_246,A,A,Product_247,2023-09-04,43,58.32,Text_246
Store_3,Text_247,Text_247,B,B,Product_248,2023-09-05,47,62.04,Text_247
Store_4,Text_248,Text_248,C,C,Product_249,2023-09-06,37,51.12,Text_248
Store_5,Text_249,Text_249,A,A,Product_250,2023-09-07,29,36.08,Text_249
Store_1,Text_250,Text_250,B,B,Product_251,2023-09-08,21,80.38,Text_250
Store_2,Text_251,Text_251,C,C,Product_252,2023-09-09,26,85.15,Text_251
Store_3,Text_252,Text_252,A,A,Product_253,2023-09-10,17,16.14,Text_252
Store_4,Text_253,Text_253,B,B,Product_254,2023-09-11,4,40.36,Text_253
Store_5,Text_254,Text_254,C,C,Product_255,2023-09-12,18,78.28,Text_254
Store_1,Text_255,Text_255,A,A,Product_256,2023-09-13,14,78.29,Text_255
Store_2,Text_256,Text_256,B,B,Product_257,2023-09-14,40,91.81,Text_256
Store_3,Text_257,Text_257,C,C,Product_258,2023-09-15,41,43.02,Text_257
Store_4,Text_258,Text_258,A,A,Product_259,2023-09-16,32,15.52,Text_258
Store_5,Text_259,Text_259,B,B,Product_260,2023-09-17,9,56.3,Text_259
Store_1,Text_260,Text_260,C,C,Product_261,2023-09-18,24,86.22,Text_260
Store_2,Text_261,Text_261,A,A,Product_262,2023-09-19,5,5.26,Text_261
Store_3,Text_262,Text_262,B,B,Product_263,2023-09-20,11,11.5,Text_262
Store_4,Text_263,Text_263,C,C,Product_264,2023-09-21,26,94.84,Text_263
Store_5,Text_264,Text_264,A,A,Product_265,2023-09-22,25,19.21,Text_264
Store_1,Text_265,Text_265,B,B,Product_266,2023-09-23,32,80.82,Text_265
Store_2,Text_266,Text_266,C,C,Product_267,2023-09-24,24,26.61,Text_266
Store_3,Text_267,Text_267,A,A,Product_268,2023-09-25,14,61.82,Text_267
Store_4,Text_268,Text_268,B,B,Product_269,2023-09-26,27,33.61,Text_268
Store_5,Text_269,Text_269,C,C,Product_270,2023-09-27,21,60.27,Text_269
Store_1,Text_270,Text_270,A,A,Product_271,2023-09-28,23,54.44,Text_270
Store_2,Text_271,Text_271,B,B,Product_272,2023-09-29,2,28.36,Text_271
Store_3,Text_272,Text_272,C,C,Product_273,2023-09-30,42,20.34,Text_272
Store_4,Text_273,Text_273,A,A,Product_274,2023-10-01,14,92.43,Text_273
Store_5,Text_274,Text_274,B,B,Product_275,2023-10-02,18,81.68,Text_274
Store_1,Text_275,Text_275,C,C,Product_276,2023-10-03,36,24.92,Text_275
Store_2,Text_276,Text_276,A,A,Product_277,2023-10-04,1,77.85,Text_276
Store_3,Text_277,Text_277,B,B,Product_278,2023-10-05,2,18.37,Text_277
Store_4,Text_278,Text_278,C,C,Product_279,2023-10-06,32,16.11,Text_278
Store_5,Text_279,Text_279,A,A,Product_280,2023-10-07,15,69.09,Text_279
Store_1,Text_280,Text_280,B,B,Product_281,2023-10-08,20,19.73,Text_280
Store_2,Text_281,Text_281,C,C,Product_282,2023-10-09,31,53.07,Text_281
Store_3,Text_282,Text_282,A,A,Product_283,2023-10-10,25,61.64,Text_282
Store_4,Text_283,Text_283,B,B,Product_284,2023-10-11,23,27.19,Text_283
Store_5,Text_284,Text_284,C,C,Product_285,2023-10-12,12,94.16,Text_284
Store_1,Text_285,Text_285,A,A,Product_286,2023-10-13,5,72.07,Text_285
Store_2,Text_286,Text_286,B,B,Product_287,2023-10-14,28,74.0,Text_286
Store_3,Text_287,Text_287,C,C,Product_288,2023-10-15,25,59.95,Text_287
Store_4,Text_288,Text_288,A,A,Product_289,2023-10-16,9,89.07,Text_288
Store_5,Text_289,Text_289,B,B,Product_290,2023-10-17,2,1.27,Text_289
Store_1,Text_290,Text_290,C,C,Product_291,2023-10-18,38,69.89,Text_290
Store_2,Text_291,Text_291,A,A,Product_292,2023-10-19,15,95.69,Text_291
Store_3,Text_292,Text_292,B,B,Product_293,2023-10-20,28,35.45,Text_292
Store_4,Text_293,Text_293,C,C,Product_294,2023-10-21,44,88.92,Text_293
Store_5,Text_294,Text_294,A,A,Product_295,2023-10-22,1,71.04,Text_294
Store_1,Text_295,Text_295,B,B,Product_296,2023-10-23,6,28.35,Text_295
Store_2,Text_296,Text_296,C,C,Product_297,2023-10-24,41,34.5,Text_296
Store_3,Text_297,Text_297,A,A,Product_298,2023-10-25,26,75.43,Text_297
Store_4,Text_298,Text_298,B,B,Product_299,2023-10-26,18,30.88,Text_298
Store_5,Text_299,Text_299,C,C,Product_300,2023-10-27,1,2.83,Text_299
Store_1,Text_300,Text_300,A,A,Product_301,2023-10-28,6,96.58,Text_300
Store_2,Text_301,Text_301,B,B,Product_302,2023-10-29,43,15.77,Text_301
Store_3,Text_302,Text_302,C,C,Product_303,2023-10-30,4,25.6,Text_302
Store_4,Text_303,Text_303,A,A,Product_304,2023-10-31,46,78.8,Text_303
Store_5,Text_304,Text_304,B,B,Product_305,2023-11-01,45,35.17,Text_304
Store_1,Text_305,Text_305,C,C,Product_306,2023-11-02,45,19.93,Text_305
Store_2,Text_306,Text_306,A,A,Product_307,2023-11-03,24,80.44,Text_306
Store_3,Text_307,Text_307,B,B,Product_308,2023-11-04,24,89.96,Text_307
Store_4,Text_308,Text_308,C,C,Product_309,2023-11-05,37,11.23,Text_308
Store_5,Text_309,Text_309,A,A,Product_310,2023-11-06,28,2.88,Text_309
Store_1,Text_310,Text_310,B,B,Product_311,2023-11-07,11,88.67,Text_310
Store_2,Text_311,Text_311,C,C,Product_312,2023-11-08,4,95.54,Text_311
Store_3,Text_312,Text_312,A,A,Product_313,2023-11-09,33,46.01,Text_312
Store_4,Text_313,Text_313,B,B,Product_314,2023-11-10,9,26.52,Text_313
Store_5,Text_314,Text_314,C,C,Product_315,2023-11-11,39,49.59,Text_314
Store_1,Text_315,Text_315,A,A,Product_316,2023-11-12,38,5.17,Text_315
Store_2,Text_316,Text_316,B,B,Product_317,2023-11-13,8,21.11,Text_316
Store_3,Text_317,Text_317,C,C,Product_318,2023-11-14,20,23.35,Text_317
Store_4,Text_318,Text_318,A,A,Product_319,2023-11-15,45,30.62,Text_318
Store_5,Text_319,Text_319,B,B,Product_320,2023-11-16,3,81.76,Text_319
Store_1,Text_320,Text_320,C,C,Product_321,2023-11-17,20,57.49,Text_320
Store_2,Text_321,Text_321,A,A,Product_322,2023-11-18,14,91.67,Text_321
Store_3,Text_322,Text_322,B,B,Product_323,2023-11-19,13,65.82,Text_322
Store_4,Text_323,Text_323,C,C,Product_324,2023-11-20,33,50.52,Text_323
Store_5,Text_324,Text_324,A,A,Product_325,2023-11-21,12,25.43,Text_324
Store_1,Text_325,Text_325,B,B,Product_326,2023-11-22,18,18.52,Text_325
Store_2,Text_326,Text_326,C,C,Product_327,2023-11-23,2,7.87,Text_326
Store_3,Text_327,Text_327,A,A,Product_328,2023-11-24,29,86.46,Text_327
Store_4,Text_328,Text_328,B,B,Product_329,2023-11-25,31,10.5,Text_328
Store_5,Text_329,Text_329,C,C,Product_330,2023-11-26,46,80.45,Text_329
Store_1,Text_330,Text_330,A,A,Product_331,2023-11-27,32,49.59,Text_330
